2	0.7368	0.0431	0.0071	0.0419	0.0344	0.0272	78.71	1
2	0.7803	0.0671	0.0074	0.0662	0.049	0.0377	76.68	1
2	0.8771	0.0448	0.0064	0.0439	0.0348	0.0284	72.6	1
2	0.7162	0.0763	0.0192	0.0729	0.0536	0.0434	86.38	1
2	0.6358	0.0646	0.008	0.0626	0.0386	0.0267	94.56	1
2	0.7133	0.0767	0.0111	0.0753	0.0534	0.0421	84.05	1
2	0.8022	0.0405	0.0049	0.0399	0.0276	0.0175	75.26	1
2	0.8619	0.0935	0.0152	0.0912	0.0799	0.0605	71.58	1
2	0.8147	0.0858	0.0184	0.0805	0.0888	0.0735	75.48	1
2	0.6953	0.0694	0.0046	0.0692	0.0651	0.0532	85.16	1
1	0.7749	0.053	0.0041	0.0513	0.0737	0.0626	77.88	2
1	0.5761	0.0631	0.0054	0.0625	0.0954	0.0954	98.77	2
1	0.7486	0.02521	0.027	0.0249	0.0322	0.0227	66.19	2
