2	0.9976	0.2774	0.0715	0.2604	0.3071	0.2686	61.02	1
1	0.8363	0.2009	0.0238	0.1973	0.2343	0.2093	62.05	1
1	0.9023	0.1881	0.0065	0.1876	0.3091	0.2391	65.56	1
2	0.7368	0.0431	0.0071	0.0419	0.0344	0.0272	78.71	2
2	0.7803	0.0671	0.0074	0.0662	0.049	0.0377	76.68	2
2	0.8771	0.0448	0.0064	0.0439	0.0348	0.0284	72.6	2
2	0.7162	0.0763	0.0192	0.0729	0.0536	0.0434	86.38	2
2	0.6358	0.0646	0.008	0.0626	0.0386	0.0267	94.56	2
2	0.7133	0.0767	0.0111	0.0753	0.0534	0.0421	84.05	2
2	0.8022	0.0405	0.0049	0.0399	0.0276	0.0175	75.26	2
2	0.8619	0.0935	0.0152	0.0912	0.0799	0.0605	71.58	2
2	0.8147	0.0858	0.0184	0.0805	0.0888	0.0735	75.48	2
2	0.6953	0.0694	0.0046	0.0692	0.0651	0.0532	85.16	2
